iter	Passed	Remaining
0	162	162690
1	170	85269
2	179	59815
3	188	46831
4	195	38936
5	202	33601
6	209	29681
7	215	26748
8	221	24341
9	225	22365
10	230	20735
11	235	19385
12	239	18212
13	244	17220
14	249	16356
15	253	15583
16	257	14901
17	261	14280
18	266	13734
19	270	13236
20	274	12783
21	278	12379
22	282	12001
23	286	11652
24	290	11338
25	294	11040
26	298	10773
27	303	10519
28	307	10285
29	311	10075
30	315	9876
31	320	9691
32	324	9523
33	329	9359
34	333	9208
35	338	9051
36	342	8914
37	347	8804
38	351	8671
39	356	8544
40	361	8447
41	365	8334
42	369	8226
43	374	8136
44	379	8047
45	383	7950
46	388	7877
47	395	7844
48	401	7797
49	406	7714
50	411	7651
51	415	7583
52	419	7503
53	424	7434
54	429	7383
55	433	7312
56	438	7247
57	443	7197
58	447	7137
59	451	7078
60	456	7026
61	460	6973
62	465	6921
63	469	6866
64	473	6810
65	478	6774
66	483	6726
67	487	6675
68	491	6634
69	495	6583
70	499	6540
71	504	6497
72	509	6463
73	513	6424
74	517	6379
75	521	6339
76	526	6305
77	529	6264
78	534	6226
79	539	6207
80	543	6170
81	547	6134
82	552	6101
83	556	6072
84	561	6041
85	565	6010
86	570	5984
87	574	5956
88	578	5926
89	583	5896
90	587	5868
91	591	5838
92	595	5810
93	599	5782
94	604	5756
95	608	5729
96	613	5712
97	618	5693
98	623	5678
99	629	5661
100	634	5647
101	639	5633
102	645	5618
103	662	5705
104	667	5692
105	672	5675
106	678	5666
107	684	5654
108	690	5641
109	695	5625
110	700	5610
111	706	5597
112	711	5585
113	717	5572
114	722	5561
115	728	5549
116	733	5537
117	739	5524
118	744	5511
119	749	5498
120	755	5485
121	760	5474
122	766	5462
123	771	5449
124	776	5437
125	782	5426
126	787	5415
127	793	5405
128	800	5407
129	805	5389
130	809	5368
131	813	5349
132	817	5328
133	821	5309
134	825	5290
135	829	5272
136	834	5255
137	838	5235
138	842	5218
139	846	5201
140	850	5183
141	854	5165
142	859	5148
143	863	5132
144	867	5114
145	871	5098
146	875	5082
147	879	5065
148	884	5048
149	888	5033
150	892	5016
151	896	4999
152	900	4983
153	915	5030
154	927	5057
155	948	5132
156	969	5206
157	976	5204
158	987	5221
159	991	5203
160	1000	5213
161	1004	5197
162	1009	5181
163	1017	5188
164	1021	5170
165	1025	5154
166	1034	5158
167	1038	5142
168	1044	5135
169	1050	5131
170	1055	5114
171	1062	5112
172	1067	5102
173	1071	5087
174	1079	5089
175	1084	5076
176	1088	5060
177	1097	5066
178	1101	5051
179	1105	5035
180	1114	5041
181	1146	5150
182	1181	5276
183	1211	5371
184	1227	5408
185	1241	5431
186	1246	5418
187	1255	5422
188	1261	5413
189	1267	5404
190	1275	5400
191	1279	5385
192	1289	5393
193	1294	5378
194	1299	5362
195	1306	5359
196	1311	5344
197	1317	5335
198	1323	5328
199	1328	5312
200	1334	5305
201	1340	5296
202	1345	5280
203	1354	5285
204	1358	5269
205	1363	5253
206	1371	5254
207	1375	5238
208	1380	5223
209	1389	5226
210	1393	5211
211	1400	5204
212	1405	5193
213	1409	5178
214	1418	5179
215	1422	5164
216	1427	5152
217	1437	5157
218	1442	5142
219	1454	5158
220	1459	5144
221	1470	5153
222	1475	5139
223	1485	5145
224	1489	5131
225	1496	5126
226	1503	5119
227	1507	5104
228	1518	5111
229	1523	5099
230	1533	5105
231	1540	5100
232	1553	5114
233	1559	5103
234	1573	5123
235	1588	5143
236	1603	5161
237	1608	5150
238	1622	5164
239	1634	5175
240	1639	5163
241	1654	5183
242	1668	5198
243	1673	5186
244	1686	5198
245	1697	5202
246	1702	5189
247	1714	5198
248	1720	5187
249	1728	5184
250	1734	5175
251	1740	5167
252	1748	5162
253	1753	5150
254	1760	5144
255	1767	5136
256	1773	5127
257	1780	5120
258	1786	5111
259	1793	5103
260	1798	5092
261	1804	5082
262	1809	5071
263	1815	5060
264	1821	5053
265	1827	5041
266	1832	5031
267	1838	5021
268	1844	5012
269	1849	5001
270	1855	4991
271	1860	4980
272	1867	4973
273	1873	4962
274	1878	4953
275	1884	4942
276	1889	4932
277	1895	4922
278	1900	4911
279	1906	4901
280	1912	4892
281	1917	4882
282	1922	4872
283	1929	4865
284	1937	4860
285	1944	4854
286	1950	4846
287	1958	4842
288	1966	4837
289	1974	4834
290	1981	4827
291	1987	4819
292	1995	4814
293	2002	4809
294	2010	4805
295	2023	4813
296	2031	4807
297	2042	4810
298	2059	4827
299	2068	4826
300	2077	4824
301	2084	4817
302	2090	4808
303	2095	4796
304	2100	4785
305	2106	4776
306	2111	4765
307	2117	4756
308	2122	4746
309	2127	4735
310	2132	4724
311	2137	4713
312	2141	4700
313	2146	4688
314	2152	4680
315	2156	4668
316	2161	4656
317	2166	4645
318	2170	4634
319	2174	4621
320	2179	4609
321	2186	4603
322	2190	4591
323	2195	4581
324	2200	4570
325	2204	4557
326	2208	4545
327	2213	4534
328	2218	4525
329	2223	4514
330	2227	4502
331	2232	4492
332	2237	4481
333	2241	4469
334	2246	4459
335	2251	4450
336	2256	4439
337	2261	4429
338	2266	4418
339	2270	4406
340	2274	4396
341	2279	4386
342	2284	4375
343	2288	4364
344	2293	4354
345	2298	4343
346	2311	4349
347	2332	4369
348	2338	4361
349	2346	4358
350	2352	4349
351	2357	4339
352	2363	4331
353	2368	4321
354	2373	4312
355	2379	4304
356	2385	4297
357	2395	4295
358	2400	4286
359	2406	4278
360	2416	4278
361	2424	4273
362	2430	4264
363	2440	4263
364	2451	4265
365	2459	4260
366	2466	4253
367	2471	4245
368	2478	4238
369	2484	4230
370	2491	4224
371	2497	4216
372	2503	4207
373	2507	4197
374	2513	4188
375	2518	4180
376	2524	4171
377	2529	4162
378	2535	4154
379	2540	4144
380	2545	4135
381	2553	4130
382	2561	4127
383	2593	4161
384	2608	4167
385	2618	4164
386	2626	4159
387	2634	4155
388	2643	4151
389	2650	4146
390	2659	4141
391	2667	4137
392	2676	4133
393	2685	4130
394	2693	4125
395	2700	4119
396	2711	4118
397	2720	4114
398	2738	4125
399	2745	4117
400	2751	4110
